data,hora,forecast_hour,temp_2m,umidade_2m,pressao_superficie,temp_max,temp_min,precipitacao
2025-08-08,06:00:00,0,8.52,77.25,965.65,,,
2025-08-08,09:00:00,3,8.74,76.85,965.63,9.16,8.09,0.3
2025-08-08,12:00:00,6,8.81,76.86,965.63,9.62,7.72,0.6
2025-08-08,15:00:00,9,8.84,76.76,965.57,9.38,8.27,0.3
2025-08-08,18:00:00,12,8.63,77.14,965.55,9.74,7.73,0.6
2025-08-08,21:00:00,15,8.38,77.81,965.55,8.95,8.05,0.29
2025-08-09,00:00:00,18,8.25,78.07,965.57,9.25,7.58,0.58
2025-08-09,03:00:00,21,8.31,77.85,965.59,8.79,7.76,0.29
2025-08-09,06:00:00,24,8.54,77.31,965.64,9.3,7.44,0.58
2025-08-09,09:00:00,27,8.78,76.9,965.72,9.19,8.12,0.29
2025-08-09,12:00:00,30,8.85,77.03,965.82,9.62,7.75,0.59
2025-08-09,15:00:00,33,8.92,76.8,965.9,9.44,8.33,0.29
2025-08-09,18:00:00,36,8.76,77.25,965.98,9.86,7.79,0.59
2025-08-09,21:00:00,39,8.53,77.9,966.11,9.11,8.18,0.3
2025-08-10,00:00:00,42,8.39,78.3,966.2,9.43,7.7,0.59
2025-08-10,03:00:00,45,8.42,78.09,966.23,8.91,7.89,0.3
2025-08-10,06:00:00,48,8.65,77.41,966.3,9.43,7.57,0.6
2025-08-10,09:00:00,51,8.91,76.8,966.38,9.31,8.26,0.3
2025-08-10,12:00:00,54,8.95,76.9,966.47,9.75,7.88,0.61
2025-08-10,15:00:00,57,8.98,76.78,966.49,9.52,8.41,0.3
2025-08-10,18:00:00,60,8.74,77.31,966.5,9.88,7.86,0.61
2025-08-10,21:00:00,63,8.48,78.07,966.54,9.06,8.16,0.3
2025-08-11,00:00:00,66,8.3,78.39,966.55,9.36,7.67,0.58
2025-08-11,03:00:00,69,8.3,78.19,966.52,8.81,7.77,0.28
2025-08-11,06:00:00,72,8.49,77.55,966.48,9.29,7.44,0.55
2025-08-11,09:00:00,75,8.69,77.13,966.52,9.11,8.06,0.28
2025-08-11,12:00:00,78,8.71,77.2,966.53,9.54,7.66,0.55
2025-08-11,15:00:00,81,8.72,76.98,966.51,9.27,8.16,0.28
2025-08-11,18:00:00,84,8.47,77.52,966.5,9.62,7.59,0.57
2025-08-11,21:00:00,87,8.18,78.24,966.55,8.77,7.86,0.29
2025-08-12,00:00:00,90,8.01,78.55,966.6,9.06,7.38,0.57
2025-08-12,03:00:00,93,8.01,78.29,966.59,8.51,7.5,0.28
2025-08-12,06:00:00,96,8.2,77.61,966.63,8.98,7.18,0.57
2025-08-12,09:00:00,99,8.43,77.16,966.72,8.83,7.8,0.29
2025-08-12,12:00:00,102,8.45,77.24,966.81,9.25,7.42,0.59
2025-08-12,15:00:00,105,8.45,77.04,966.83,8.99,7.93,0.3
2025-08-12,18:00:00,108,8.21,77.45,966.86,9.33,7.36,0.6
2025-08-12,21:00:00,111,7.94,78.19,966.96,8.51,7.63,0.3
2025-08-13,00:00:00,114,7.78,78.51,966.99,8.8,7.15,0.6
2025-08-13,03:00:00,117,7.82,78.26,966.97,8.28,7.29,0.3
2025-08-13,06:00:00,120,8.05,77.59,966.97,8.78,6.98,0.6
